code_name,n,k,p,num_trials,num_frame_errors,fer,fer_ci_low,fer_ci_high,symbol_error_rate,symbol_ci_low,symbol_ci_high,bit_error_rate,bit_ci_low,bit_ci_high,elapsed_sec,seed,decoder_name
tiny,18,10,0.005,1000,4,0.004,0.0015565629678934295,0.010239720429805971,0.0009444444444444445,0.0005897680183721884,0.0015120945085676176,0.0006388888888888889,0.00042577866215475656,0.0009585625021503329,14.05849390000003,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.01,1000,7,0.007,0.0033948250792319975,0.01437849692694906,0.0012777777777777779,0.0008516299539208716,0.00191675698856367,0.0008333333333333334,0.0005838087630941281,0.001189379795762325,14.272431000000097,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.02,1000,24,0.024,0.016180052367186296,0.03546315508705749,0.004666666666666667,0.003771218947526349,0.005773499552996339,0.00325,0.0027127011165526058,0.0038933050602993667,14.171407799999997,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.03,1000,47,0.047,0.03552692265984565,0.06194024745942417,0.00938888888888889,0.008080945284833302,0.010906202435906474,0.006305555555555556,0.005538883160093725,0.007177582073993961,13.899618199999622,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.05,1000,88,0.088,0.07198073098543067,0.10717263344975514,0.018,0.016158053518664076,0.02004764160364804,0.012083333333333333,0.011005606428793887,0.013265181386248607,14.850436900000204,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.07,1000,160,0.16,0.138584892534484,0.1840173985042616,0.03661111111111111,0.033964859165999825,0.039455115824226686,0.024305555555555556,0.022764791245709837,0.025947832798275516,12.887938800000029,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.1,1000,249,0.249,0.22319212110880252,0.2767289819815656,0.06433333333333334,0.06084122033342465,0.06801136854960574,0.042944444444444445,0.04089851398914923,0.045087910303973994,13.860670300000038,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.13,1000,403,0.403,0.3730256138640415,0.4337168044617184,0.11166666666666666,0.10714808901570509,0.11635096687467776,0.07377777777777778,0.07112263469747063,0.07652387644594025,14.092334099999789,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.16,1000,529,0.529,0.4980099243995127,0.5597681154824767,0.15772222222222224,0.15247063836741673,0.1631198742707304,0.10447222222222222,0.1013546195294722,0.10767423032526108,14.214145500000086,20260526,metropolis_T1.00_sweeps200
tiny,18,10,0.2,1000,685,0.685,0.6555474543120954,0.7130365932109404,0.22777777777777777,0.22170925947257297,0.23396246783255942,0.1515,0.14783348504236293,0.15524088466600727,12.68938079999998,20260526,metropolis_T1.00_sweeps200
small,72,42,0.005,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00011111111111111112,5.6303124797581455e-05,0.0002192599501592414,5.555555555555556e-05,2.8151302933340226e-05,0.00010963391015225292,50.64937789999976,20260526,metropolis_T1.00_sweeps200
small,72,42,0.01,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.0005277777777777777,0.00038456238408640815,0.0007242895636130044,0.0003333333333333333,0.0002514418074341702,0.00044188414061470464,49.97057509999968,20260526,metropolis_T1.00_sweeps200
small,72,42,0.02,1000,24,0.024,0.016180052367186296,0.03546315508705749,0.002277777777777778,0.001955113527393222,0.0026535516858250687,0.0015138888888888888,0.0013259364095641944,0.0017284376620786274,48.86355219999996,20260526,metropolis_T1.00_sweeps200
small,72,42,0.03,1000,60,0.06,0.046896260125365796,0.07647141063065788,0.006361111111111111,0.005806141541211839,0.006968754624883832,0.0042361111111111115,0.0039136236341904135,0.00458504964009257,99.63585009999997,20260526,metropolis_T1.00_sweeps200
small,72,42,0.05,1000,181,0.181,0.15837154743410886,0.2060700138640083,0.022416666666666668,0.021360560680876432,0.02352373338156704,0.014930555555555556,0.014316978446556423,0.015570013123812907,234.42156010000008,20260526,metropolis_T1.00_sweeps200
small,72,42,0.07,1000,346,0.346,0.31715614268933207,0.37602254207527624,0.04845833333333333,0.04691376871496041,0.05005107989389492,0.03231944444444444,0.03141842301778725,0.03324541856128351,124.83515009999974,20260526,metropolis_T1.00_sweeps200
small,72,42,0.1,1000,613,0.613,0.582433759131263,0.6427013617882128,0.10681944444444444,0.10458414791570378,0.1090966954686303,0.07138888888888889,0.07007042803486732,0.07273021791678902,88.12268859999995,20260526,metropolis_T1.00_sweeps200
small,72,42,0.13,1000,807,0.807,0.7813828923861693,0.830267391881787,0.1699027777777778,0.16717722450360387,0.17266355421395838,0.11320138888888889,0.11157520740599908,0.11484820767600526,232.8412628000001,20260526,metropolis_T1.00_sweeps200
small,72,42,0.16,1000,921,0.921,0.9026247164327947,0.9361530349574647,0.23291666666666666,0.22984343439221946,0.23601839817978046,0.155625,0.15376186023508795,0.15750651359418358,233.14811259999988,20260526,metropolis_T1.00_sweeps200
small,72,42,0.2,1000,981,0.981,0.9705153112972965,0.9878032122625958,0.2986666666666667,0.2953344104956043,0.3020204061951763,0.19997222222222222,0.19791432434332873,0.2020461278228307,236.58274619999975,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.005,1000,0,0.0,0.0,0.003826898586390522,0.0,0.0,3.556910516412594e-05,0.0,0.0,1.7784868877998692e-05,303.3660536000002,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.01,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.00011111111111111112,6.35630545816494e-05,0.00019422036855910673,7.407407407407407e-05,4.559739653375635e-05,0.00012033298569700114,339.7097285999994,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.02,1000,14,0.014,0.008357497449441328,0.023362247976530262,0.0007314814814814815,0.0005870226447896473,0.0009114573870539609,0.0004861111111111111,0.00040161320254911067,0.0005883765977063675,321.1573119000004,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.03,1000,32,0.032,0.02275696612786701,0.04482501094899452,0.0017592592592592592,0.0015264233391695037,0.0020275391339579334,0.0011712962962962964,0.0010356491922770467,0.0013246866064914506,342.00137900000027,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.05,1000,112,0.112,0.09391923505867933,0.13305043824435975,0.007268518518518519,0.006779129655356986,0.007792959417445034,0.004842592592592593,0.004558507526902402,0.005144290277412205,346.9672082999996,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.07,1000,235,0.235,0.20976514435033908,0.26226311190044793,0.019916666666666666,0.019100315971715034,0.020767169630760057,0.013458333333333333,0.012980973806054156,0.013952999020103206,347.7031459,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.1,1000,490,0.49,0.4591134662984696,0.5209630716732583,0.05871296296296296,0.0573265180432896,0.0601308002526922,0.03943055555555556,0.038617964779771446,0.04025952866569697,125.82029160000002,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.13,1000,746,0.746,0.7181137816345096,0.7720033842609864,0.11724074074074074,0.11533565185363172,0.11917305843654004,0.07847222222222222,0.07734563036255211,0.07961380771440475,112.2085547000006,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.16,1000,910,0.91,0.8906578220441299,0.92620412111503,0.18786111111111112,0.18554264772085294,0.19020177950329875,0.1252175925925926,0.123828490871857,0.12662002522527527,107.76854029999959,20260526,metropolis_T1.00_sweeps200
medium,108,58,0.2,1000,990,0.99,0.981690334694608,0.9945593046907295,0.27361111111111114,0.27096033752711907,0.27627798959549704,0.18204166666666666,0.1804199790839186,0.1836746639439487,109.87446069999987,20260526,metropolis_T1.00_sweeps200
large,144,74,0.005,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.00016666666666666666,0.00011200638225983351,0.00024799512481107227,0.00011111111111111112,7.871013686823195e-05,0.00015684783216130338,146.92168050000055,20260526,metropolis_T1.00_sweeps200
